ID,SpikeRecovery,SpikePassFail,DuplicateRecovery,DuplicatePassFail,RPD,RPDPassFail
3169,103.32,Pass,102.38,Pass,0.91,Pass
3180,101.44,Pass,102.72,Pass,1.21,Pass
3191,102.7,Pass,103.24,Pass,0.52,Pass
3230,102.14,Pass,103.22,Pass,1.05,Pass
3243,100.88,Pass,103.86,Pass,2.91,Pass
3244,102.88,Pass,102.98,Pass,0.1,Pass
3249,103.38,Pass,103.1,Pass,0.27,Pass
3260,101.98,Pass,102.18,Pass,0.19,Pass
4625,100.7,Pass,100.26,Pass,0.16,Pass
4626,98.12,Pass,98.62,Pass,0.38,Pass
4833,102.51,Pass,107.34,Pass,2.14,Pass
4834,98.76,Pass,100.48,Pass,1.45,Pass
5035,103.61,Pass,102.03,Pass,0.71,Pass
5238,101.24,Pass,101.02,Pass,0.12,Pass
5326,102.2,Pass,103.12,Pass,0.81,Pass
5334,100.74,Pass,102.58,Pass,1.63,Pass
5364,101.6,Pass,101.9,Pass,0.25,Pass
5384,100.2,Pass,97.96,Pass,1.75,Pass
5459,100.82,Pass,100.98,Pass,0.13,Pass
5472,96.28,Pass,93.52,Pass,0.93,Pass
5473,103.26,Pass,106.06,Pass,1.69,Pass
5524,98.66,Pass,100.32,Pass,1.51,Pass
5529,100.44,Pass,101.42,Pass,0.88,Pass
5539,104.02,Pass,100.84,Pass,2.81,Pass
5558,101.08,Pass,102.9,Pass,1.63,Pass
5566,102.3,Pass,100.38,Pass,1.77,Pass
5690,99.24,Pass,98.92,Pass,0.3,Pass
5693,102.38,Pass,103.16,Pass,0.76,Pass
5695,101.58,Pass,102.64,Pass,1.04,Pass
5699,102.92,Pass,103.72,Pass,0.77,Pass
5703,102.38,Pass,103.82,Pass,1.4,Pass
5990,101.0,Pass,103.63,Pass,1.0,Pass
5991,97.56,Pass,99.98,Pass,1.83,Pass
6304,108.46,Pass,101.58,Pass,1.58,Pass
6305,100.18,Pass,102.94,Pass,1.25,Pass
6419,104.38,Pass,103.19,Pass,0.44,Pass
6420,100.56,Pass,99.72,Pass,0.64,Pass
6433,80.41,Fail,92.38,Pass,2.48,Pass
6434,101.38,Pass,103.26,Pass,0.66,Pass
6496,101.24,Pass,99.58,Pass,1.45,Pass
6497,101.42,Pass,101.5,Pass,0.07,Pass
6507,101.2,Pass,101.76,Pass,0.49,Pass
6517,102.72,Pass,101.92,Pass,0.68,Pass
6532,102.4,Pass,102.52,Pass,0.11,Pass
6832,101.86,Pass,98.86,Pass,1.14,Pass
6833,98.5,Pass,96.06,Pass,1.83,Pass
7497,98.24,Pass,100.12,Pass,1.63,Pass
7509,99.8,Pass,100.38,Pass,0.57,Pass
7517,102.26,Pass,102.72,Pass,0.45,Pass
7518,103.46,Pass,102.76,Pass,0.66,Pass
7528,98.96,Pass,102.76,Pass,3.77,Pass
7782,101.26,Pass,102.38,Pass,0.95,Pass
7793,98.84,Pass,99.78,Pass,0.79,Pass
